time,top,total_free_energy
0,0,0
2,-48.053693124022,1840.4746830794
4,-46.94303610503,1745.5223862959
6,-40.180953614719,1611.0093518674
8,-38.736550628001,1663.6896323063
10,-32.833547682621,1612.1570371291
12,-31.669774127009,1698.2639943517
14,-26.737100953353,1665.9044673343
16,-25.591446039651,1737.3658898506
18,-22.243322020851,1707.7645050731
20,-21.659123802027,1753.4355863487
22,-19.158350861379,1722.624942455
24,-18.756806754564,1758.1398147401
26,-16.62187660056,1728.7659101334
28,-16.345716438889,1755.6616069164
30,-13.88481542232,1725.227777442
32,-12.870990348233,1752.5952314503
34,-11.317942727143,1722.3426274941
36,-10.74507389508,1748.1199179353
38,-8.943484286208,1717.2744796627
40,-7.9173102076989,1741.8747170539
42,-6.9043380670281,1710.5160371417
44,-6.2809074409861,1738.0558162473
46,-4.8243104108101,1706.9148070288
48,-3.8252461632437,1732.0914251311
50,-2.276979781084,1700.5472616353

